Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,Returns,Volatility
2025-10-08,123354.8671875,124167.09375,121119.1796875,121448.3515625,65354305286,116546.306640625,114316.7184375,118227.33418702314,0.01567280940669602,0.018182605464710417
2025-10-09,121705.5859375,123739.34375,119812.03125,123337.0703125,74653009425,116847.14296875,114465.3353125,118558.59625849713,-0.013370216251727518,0.018227930244174028
2025-10-10,113214.3671875,122509.6640625,104582.4140625,121704.7421875,153125018868,116721.76328125,114481.24203125,118049.62206125932,-0.06976852117831744,0.024401095087076725
2025-10-11,110807.8828125,113429.7265625,109760.5625,113236.4296875,110236934340,116496.852734375,114359.91796875,117359.93260899652,-0.02125599811033263,0.02482324341744912
2025-10-12,115169.765625,115805.0625,109715.5390625,110811.515625,93710414091,116617.915625,114355.82671875,117151.34527718733,0.03936437283871608,0.0259390084083897
2025-10-13,115271.078125,116020.484375,113821.1875,115161.6796875,71582026739,116780.74453125,114392.0796875,116972.27221507425,0.000879679657679322,0.025873133895699226
2025-10-14,113118.6640625,115502.8828125,110029.484375,115264.8828125,92212917403,116770.24609375,114451.9659375,116605.26191482908,-0.01867262888064536,0.026147987890295918
2025-10-15,110783.1640625,113622.3828125,110235.8359375,113113.96875,72574132855,116856.93984375,114431.57609375,116050.77640508347,-0.02064646024028005,0.02509801137017208
2025-10-16,108186.0390625,111990.8125,107537.03125,110782.171875,87306423067,116780.600390625,114370.855625,115301.75380102791,-0.023443318504017374,0.02565129998407233
2025-10-17,106467.7890625,109235.8046875,103598.4296875,108179.1328125,99703051669,116619.892578125,114249.3153125,114460.42382593002,-0.01588236351834038,0.025884179151746827
2025-10-18,107198.265625,107490.984375,106387.453125,106483.734375,37779905278,116373.673828125,114225.06390625,113768.78971155573,0.006861009972426446,0.025375139744665706
2025-10-19,108666.7109375,109488.9921875,106157.7890625,107204.3125,47657008953,116086.990234375,114222.23671875,113282.87744735993,0.013698405510000455,0.025111585484958742
2025-10-20,110588.9296875,111711.03125,107485.015625,108667.4453125,63507793085,115913.632421875,114269.28109375,113026.31099403994,0.01768912239467313,0.025502731613054618
2025-10-21,108476.890625,113996.34375,107534.75,110587.6328125,101194375480,115405.03046875,114253.80703125,112593.03286365519,-0.019098105646452646,0.023817769329495753
2025-10-22,107688.5859375,109115.1328125,106778.0,108491.53125,80807013218,114755.396875,114183.56703125,112125.94268021183,-0.007267028792566799,0.023286865618176493
2025-10-23,110069.7265625,111288.59375,107548.4296875,107679.4375,54944076060,114145.556640625,114150.49734375,111930.11257376308,0.022111355667553845,0.02374520102883053
2025-10-24,111033.921875,111842.53125,109770.1484375,110069.3515625,48160816980,113575.98125,114156.70375,111844.76107864278,0.008759859251149305,0.023906895389607465
2025-10-25,111641.7265625,111947.703125,110704.40625,111032.6171875,24707667305,112982.39375,114176.51859375,111825.42445805777,0.005474045023684315,0.023817593063440314
2025-10-26,114472.4453125,115260.90625,111268.484375,111639.0546875,41708524143,112468.389453125,114261.47359375,112077.52168229036,0.025355383127430242,0.024553772247987077
2025-10-27,114119.328125,116273.3125,113882.2890625,114479.8515625,61761358733,112101.78671875,114320.5078125,112271.9794387389,-0.0030847352525406047,0.023977905225087356
2025-10-28,112956.1640625,116078.984375,112291.6796875,114129.0859375,64528066504,111581.8515625,114338.2025,112337.1398790971,-0.01019252462848308,0.023622247013608422
2025-10-29,110055.3046875,113642.7265625,109368.71875,112921.328125,62192043469,110999.3375,114308.69765625,112119.82224180213,-0.025681284408657135,0.024032692350780305
2025-10-30,108305.546875,111612.3515625,106376.6875,110059.1953125,69673964814,110753.896484375,114195.70140625,111756.55792115431,-0.015898895718551742,0.018812859357500506
2025-10-31,109556.1640625,111031.8203125,108288.2734375,108304.4140625,60090359560,110691.310546875,114076.67390625,111546.99660128247,0.011547120379193476,0.018476912616341983
2025-11-01,110064.015625,110574.8984375,109372.953125,109558.625,25871668762,110436.023046875,113955.92265625,111405.760317827,0.004635536182247879,0.016009759099046724
2025-11-02,110639.625,111167.3125,109523.453125,110064.4296875,34284209459,110204.450390625,113849.705,111332.79504946253,0.005229768982454308,0.016082367744974107
2025-11-03,106547.5234375,110764.9140625,105336.359375,110646.90625,72852006359,109875.893359375,113672.50234375,110877.05489594227,-0.03698585893164408,0.01754124465879971
2025-11-04,101590.5234375,107264.8828125,98962.0625,106541.421875,110967184773,109416.261328125,113395.4153125,109992.62332847157,-0.046523840630681046,0.01974026995148059
2025-11-05,103891.8359375,104534.703125,98989.9140625,101579.234375,77584934804,109201.551171875,113136.38828125,109411.59595790284,0.02265282648549194,0.02005571689778857
